ID,前文,題幹,選項1,選項2,選項3,選項4
6012537,"男：你後個月敢是欲去意大利𨑨迌？按算參觀佗幾个景點？
女：我會代先去Florence，紲落閣去Pisa趨塔參觀。",請問這个小姐的意思是啥？,伊去意大利干焦欲參觀Pisa趨塔,伊佇意大利食著好料的Pizza,伊會對Florence起行，才閣去Pisa趨塔。,伊想欲去Florence，毋過無欲參觀Pisa趨塔。
6022537,你若佇拜六禮拜歇睏日駛車上國道高速公路，定定看會著排甲長躼躼的車陣，嘛因為車輛濟，會予車速變慢。若是拄著車禍事故，雖然有警察排解，毋過嘛是會窒甲足嚴重，有當時仔速度閣會慢甲無到十公里，甚至高速公路隨變做一个大停車場。你卡佇強欲停落來的車陣裡，看著頭前規排的擋仔燈咧著，家己的速度若龜咧趖，正經需要足大的耐心，才袂掠狂。,請問高速公路車速若龜咧趖的原因是啥﹖,速限傷低。,警察傷少。,車禍事故。,車主掠狂。
6032537,"甲（查埔的）：你讀遐濟外國小說有啥物路用？
乙（查某的）：拍開我的眼界，予我入去人類心靈真深的所在。
甲：按呢較輸加出國行行看看咧。
乙：我較佮意透過讀冊來旅行，因為我無才調環遊世界，嘛無遐爾濟的體力、錢項、點聲。
甲：毋過冊裡所寫的世界較講嘛是過去的述說，而且是作家看著的世界，閣再講，翻譯的嘛已經失去語言的原味矣。
乙：咱無可能精通濟款語言，所以透過翻譯讀冊嘛真好，雖罔講的毋是原汁原味，毋過上無會當讀著思想的原味。",查埔的佮查某的啥人較愛旅行？,查埔的,查某的,兩个攏愛,看袂出來
6042537,"小花：「小玉，老師拄才所講的張良的故事，你敢會記得？」
小玉：「我會記得，我講予你聽。一个老人予張良共伊鬥抾鞋仔。閣要求張良共伊穿鞋。」
小花：「我想起來矣，所以老人愛張良第二工才來，伊欲送好空的予伊。」
小玉：「著，一直到第三工，張良總算比老人較早到，老人才送一本冊予張良，閣共交代這本冊轉去愛好好仔讀、讀予通，按呢伊將來就通做皇帝的軍師矣。」",請問老人愛張良抾啥？,冊,鞋,紙票,武器
6052537,"查某：你敢知影咱學校管樂團的相關消息？
查埔：無蓋清楚neh，咱學校的管樂團是按怎矣？
查某：我想欲加入管樂團，想講愛欲了解一下仔情形。
查埔：是按呢喔，無我才共同學問看覓，有消息才閣通知你。著啦，你若入去管樂團是按算欲奏啥物樂器？
查某：我想欲歕洋𥰔仔，我自讀國校就咧練洋𥰔仔矣，後擺嘛想欲繼續歕洋𥰔仔。",請問這位小姐想欲創啥？,伊想欲佇管樂團歕洋𥰔仔,伊想欲學拍鼓,伊想欲挨小提琴,伊想欲彈鋼琴
6062537,"查埔：最近電影院咧做《怪獸佮𪜶的產地》新的一集，我佮幾个朋友欲去看，你敢欲做伙來去？
查某：彼是《哈利波特》系列電影的接紲是無？敢若捷聽著呢。
查埔：毋是，《怪獸佮𪜶的產地》系列是《哈利波特》系列的頭前篇，是幾若十冬前的故事，毋但有英國以外的童乩，另外閣有一个大歹人葛林戴華德佮鄧不利多的故事。
查某：聽起來真趣味喔，毋過，我毋捌看過《怪獸佮𪜶的產地》前幾集的電影，直接去看新的一集，凡勢會看無。
查埔：無要緊啦，我會當共你講頭前的劇情。",請問這位先生咧創啥？,成做一个童乩,咧看《哈利波特》,邀請這位小姐看電影,查詢《怪獸佮𪜶的產地》的劇情
6072537,學華語文的時陣，真濟人攏感覺華語真僫發音。華語有四个聲調，根據研究，佮其他的聲調比起來，外國學生感覺第三調是上歹學的聲調。發音抑毋是上困難的，通常學生感覺華語文的文法才是食力誠僫理解，漢字嘛誠歹寫，所以真濟人學無一觸久仔就放棄學華語文矣。,這段話是啥物意思？,學華語的第一聲凡勢較簡單過第三聲,學漢字真簡單,漢語的詞彙嘛真困難,華語文的文法無濟
6082537,揹仔客店主要是予旅行者交換旅遊心得的網路平台，其中包括旅行資訊、交通路線規劃、美食分享、在地私人景點介紹、散工換過暝的經驗佮各種實用的資訊。尤其是買機票的時陣，嘛通對這个網站去比價數。,揹仔客客棧有啥物功能佮特色？,訂機票有拍折,會當免錢坐當地交通工具,會當交流度假做工換帶暝感想,會當擔任觀光局旅遊大使
6092537,古早人定定照時令過日子，所以對五日節的俗話：「食菜豆食甲老老，食茄人較會𪁎趒。」就知影佇五日節，除了啉雄黃酒、午時水佮食肉粽以外，閣愛食菜豆、茄仔、匏仔、桃仔、李仔等等著時的菜蔬。有豐富的卵白質的菜豆有健脾、利水的功效，紫色的茄仔也有清熱解毒的功效，夏季大出的瓜類本來就有退火的功能，有豐富纖維質的桃仔是通予胃腸活化，果酸豐富的李仔嘛通促進消化，毋過嘛毋通食傷濟，食傷濟顛倒會傷胃腸。簡單講，五日節的時著愛遵照古早人的智慧，佇食粽食過癮的siāng時，嘛愛食有夠額的著時菜蔬，予家己閣較健康。,這段文章的重點是啥物？,紹介五日節的由來,紹介五日節的相關諺語,紹介五日節啉的酒水,紹介五日節彼工定定食的菜蔬
6102537,"
女：你毋是在地人齁？
男：我專工對桃園來恆春看城門啦。請問，北門按怎去？
女：歡迎啦，就佇頭前。
男：多謝你！
女：你家己一个人喔？哪會無𤆬某仔囝來？
男：猶未娶啦，你報路予我，閣共我關心，多謝啦。",這位先生是按怎共小姐說多謝？,小姐關心伊的親人,小姐看出伊毋是在地的,小姐報路閣共伊關心,小姐𤆬伊去恆春𨑨迌
6112537,舊金山，太平洋沿岸的第二大城，雖然佮洛杉磯仝款徛佇活力十足的加州，煞展現完全無仝的氣質。舊金山是藝術佮離經叛道的城市，吸引世界各地的次文化佇遮興旺發展，對戰後落坐（lo̍h-tshē）的一代，六、七十年代的嬉皮革命，一直到今仔日舊金山成做地下音樂人、嬉皮士（hi-phî-sū）、藝術家佮作家的大本營，街路頂的曲盤店、大麻店、舊酒吧、冊店、畫廊窒倒街，同時舊金山嘛是同性戀人權運動重要的發源地之一，會當講是有自由靈魂的城市。,請問舊金山是一个啥物款的城市?,政治色彩明顯的城市,佮洛杉磯的城市風格欲仝啊欲仝,提倡人權的先鋒,毒品管制真冗的城市
6122537,孟子認為伯夷是聖人內底上蓋清高的；伊尹是聖人內面上負責任的；柳下惠是聖人內底上蓋人人好的；孔子是聖人內面上會曉看勢面的． 孔子會使講是集大成的人。 集大成的意思，就親像樂隊咧演奏，用釙鐘聲開始起音，用玉磐聲來收煞。 釙鐘聲起音是為著有條有理的開始，玉磐聲收煞是為著有條有理的結束。 有條有理的開始是智方面的代誌，有條有理的結束是聖方面的代誌。,請問聖人內底siáng上會曉看勢面？,伯夷,孔子,伊尹,柳下惠
6132537,太魯閣國家公園徛佇台灣東部，是台灣第四座成立的國家公園，掠山坑佮絕崖做特色，景緻美麗壯觀。另外，園內的懸山地帶保留濟濟冰河時期的生物，譬論講塗龍等等。,關係著太魯閣國家公園的描述，佗一个是正確的？,佇台灣東部,景致平坦拋荒,特色是火山佮溫泉,是台灣第一座成立的國家公園
6142537,A：阿剛，你敢知影詠絮之才的故事？B：我知喔，因為佇某一个寒人的暗暝，窗仔外當咧落大雪，謝安問講，遮爾仔媠的雪景有成啥物無？A：著，謝朗搶咧講，向天頂掖一把鹽大概會當模擬雪景乎。B：啊才女謝道韞煞講，咱不如講輕輕輕又閣白鑠鑠的柳絮傍風勢飛起來，更加會當表達按呢的媠乎。,請問以柳絮作比喻來詠雪的人是啥人？,謝安,謝朗,謝道韞,阿剛
6152537,女：來!來!來!來食點心!芳貢貢的點心來囉!男：哇!是車輪餅呢!女：嗯!是毋是足芳的?來!趁熱食乎!男：欸?哪會閣是紅豆口味的啊?女：紅豆真好食啊，我上愛食紅豆啦，健康閣好食，你嘛加食寡!男：雖然講我無討厭紅豆，但是逐改攏是仝款的口味，後改希望換一寡別款的乎!,請問這位先生講：「哪會閣是紅豆口味的啊?」這句話是咧講啥物?,逐改都干焦這个口味爾。,伊討厭食紅豆餡的料理。,伊討厭食甜的。,伊愛食足甜的食物。
6162537,你對鋼琴有趣味無？想欲學鋼琴煞毋知按怎開始--honnh？琴聲飛揚音樂教室這馬當咧招生，針對個人程度來按排班別，有一對一班、團體班、樂理班等足濟種組合。課程齊全師資優良。初學者嘛免煩惱，阮提供免費諮詢，專人服務，予你了解家己的音樂程度，而且閣有兩改試聽的機會，試聽了後一禮拜以內報名閣有九折優待！毋好干焦想，歡迎敲電話詢問。,音樂教室招生廣告講試聽後幾工內報名有優惠?,七工,三工,五工,四工
6172537,一个叫司寬多的印地安人捌佇歐洲生活10外冬，會曉講一寡英語，伊教新移民按怎起水壩閘河掠魚，共魚埋入去塗nih做番麥的肥料。1621年秋天，番麥收成真好，特別是印地安的番麥，麥子收成佮佇歐洲的時陣差不多，荷仁豆差不多一粒就無損害。熱天的時，in掠真濟魚，秋天時仔，拍真濟鳥仔、火雞仔佮鹿仔。佇慶祝豐收的日子，歐陸新移民邀請印地安人過來同齊感謝上帝的賞賜。,所以對面頂這段文字，咱知影感恩節的由來是？,一个叫做司寬多的印地安人捌佇歐洲生活十外年，會曉講一寡英語，伊教新移民按怎做水壩閘河掠魚,佇新大陸歡喜慶祝豐收的日子，歐洲大陸新移民邀請印地安人過來同齊感謝上帝的恩賜。,紀念耶穌基督予人釘佇十字架,紀念耶穌基督死後重生
6182537,"男生：「人若活咧，是無咧好的。會一直痛苦，一直痛苦，對出世的時陣就開始一直痛苦。掠準換一个所在會較好，其實是會佇新的所在痛苦，知影無？」
女生：「所以我就無愛換所在矣。」",請問查埔講的話是啥物意思？,人活咧就是一个不斷咧考驗的過程，所以一直有痛苦,情隨境轉，換一个所在，人生的風景會無仝款,孤單才是人生上尾的歸宿,艱苦會過去，媠會留落來
6192537,這馬咱可能連門都免出去，就會當買著一工三頓佮萬項物件。這攏是因為這馬的網路愈來愈發達，咱會當透過百百款的網站買物件來供應咱的生活，按呢的好處是生活真利便，咱毋免了傷濟時間出門去買物件，會當用遮的時間做其他的代誌。毋過嘛有欠點，有一寡人嘛會因為按呢，變甲愈來愈「宅」，毋出門接觸外口的社會，嘛無想欲佮人面對面講話，一直生活佇家己的世界內底。所以網路買物件有好也有䆀，就看咱按怎使用伊。,請問這篇文章的主題可能是啥物？,網路買物件的好處佮歹處,網路買物件是按怎形成的,網路買物件會當買著啥物,網路買物件較俗
6202537,我面對樹pôo，共喘氣調整予好，跤步跍咧，雙手那幌，喘大氣，緩緩仔吐氣，雙手輪流出拳，重複按呢的動作。我攑頭看著日光、青葉，感覺世間有影媠，共肩胛頷頸放鬆，感覺新的空氣進入我的身軀，我緩緩仔共遮的廢氣排出來。我共雙手伸予長，輕輕仔捘我的腰，頭殼慢慢仔踅一輾，閣調整喘氣，感覺規个人加真輕鬆。,是按怎規身軀加真輕鬆？,歹天。,空氣無流通。,手伸長。,喘氣運動。
6212537,《悲情城市》是侯孝賢導演佇一九八九年出品的電影，內容佮二二八事變相牽連，主要咧搬國民政府拄來台灣彼時，台灣人的處境。《悲情城市》得著Venice影展金獅獎的最佳影片，煞無得著金馬獎的最佳影片獎，有人認為是政治因素所致。,請根據紹介，選出著的答案。,《悲情城市》得著金馬獎的最佳影片獎,《悲情城市》捌佇國外著獎,侯孝賢是《悲情城市》的男主角,《悲情城市》佮政治無牽連
6222537,"男：你捌去過非洲旅行無？
女：非洲？遐感覺逐項輸人，散赤，而且治安嘛䆀。
男：其實非洲佮你想像的無仝款。",根據對話，這个查埔感覺非洲按怎？,非洲嘛無人想的遐爾䆀。,非洲真落伍。,非洲足散赤的。,無想欲去非洲旅行。
6232537,"查埔：喔!足吵的啦！你看!原來是有飛行機起飛矣啦!
查某：彼毋是普通的飛行機，彼是戰鬥機。
查埔：七星潭哪會有遮爾濟飛行機啊？
查某：因為隔壁有一个空軍基地啊!
查埔：𪜶是欲飛去佗位啊？
查某：應該是例行的訓練啦!
查埔：喔!有夠吵的啦！又閣一台起飛矣。
查某：彼是F16啦!國軍共飛行機囥佇東部，因為有中央山脈咧保護，看戰鬥機起飛，這嘛是七星潭的特色之一啦。",下面佗一个正確？,戰鬥機起飛的時真安靜。,七星潭邊仔有海軍基地。,𪜶看著的戰鬥機是幻象兩千。,戰鬥機的起降真頻繁。
6242537,台灣原住民不止是一个和閩南抑是客人無仝的族群，𪜶有豐富的文化資產，對語言、音樂、食食、到結婚佮祭典，攏有各族無仝款的特色。各族群特殊的文化是台灣另外一種珍貴的本土寶藏。,根據本文，原住民的特色是啥物？,交通工具,貨幣流通,文化風俗,生產方式
6252537,"男：妳佇這齣戲裡的表現足jió-toh，煞尾彼幕女主角過身的時，我袂忍得流目屎。
女：多謝呵咾，彼幕欲按怎演我嘛想足久，嘛佮真濟人參詳，演練幾若日。
男：妳辛苦矣，效果正經足讚。你以後敢有想欲成做演員？
女：演員？我喔？較早毋捌想過，無定會當試看覓。
男：我相信妳定著有才調。",請問這个小姐按算創啥？,揣人參詳戲齣,準備搬演女主角,提衛生紙拭目屎,想欲成做演員
6262537,國家地理頻道對2007年開始推捒關懷生態環境，逐年放送紀錄片閣舉辦地球日活動，落實保護地球的理念。這15冬來塑膠產量加出真濟，已經欲kah歷史總產量的50%，廢棄物管理佮再利用的觀念真需要予眾人理解佮支持。逐年四月的世界地球日攏會舉辦走鏢，結合運動休閒佮健康生活，推廣環保愛地球的觀念！活動地點佇大佳河濱公園，起點是臺北市政府市民廣場，2019年4月28早起6點出發，這是半馬、挑戰組的起點。活動流程以現場公告為準。歡迎民眾同齊來參與！,請問這个單位為著推廣環保愛地球的觀念，提倡啥物活動？,摒海埔,資源回收,走鏢,減少使用塑膠橐仔
6272537,"A：我想欲挑戰一個月莫食甜路。
B：是按怎雄雄欲按呢決定？一個月無通食甜足痛苦的呢。
A：因為我體重超重矣，人一下大箍，看起來就加足老款，有人掠準阮男朋友是阮囝，我強欲氣死矣。
B：恁男朋友敢有共你嫌？
A：是無啦，但是恐驚萬不二啊！",這个人想欲挑戰莫食甜路的主要原因是啥？,身體各樣各樣,看起來無少年,年歲大矣,男朋友無佮意
6282537,莫札特自細漢就佮音樂結袂解之緣，伊的啟蒙是三歲的時，伊的老爸教伊的姊姊彈鋼琴，伊就佇邊仔那聽那欣賞，就大大對音樂有興趣。莫札特的記持不止仔好，凡若伊所捌聽的曲攏通記kah牢牢牢，甚至當in姊姊彈毋著音的時，伊都會當正確共姊姊糾正。莫札特的老爸是咧挨小提琴兼教音樂的，佇莫札特四歲的時，就教伊彈鋼琴，了後嘛陸續學小提琴佮風琴。就按呢莫札特就展現過人的創作天份，對五歲開始作曲，八歲創作奏鳴曲佮交響曲，十一歲就咧寫歌劇，自細漢就有「音樂神童」的名號。,「音樂神童」莫札特上早是學啥物樂器？,小提琴,大提琴,鋼琴,管風琴
6292537,查埔：厝裡種幾若年的瓊花，總算是欲開花矣。  查某：聽講瓊花是佇暗時開花，翻點進前就會蔫去，花蕊大開的時間干焦四五點鐘爾爾，莫怪有「曇花一現」的講法。       查埔：瓊花佇暗時仔開花，花開的時花香芳貢貢，所以閣號做「月下美人」。查某：瓊花毋但會當觀賞，閣會當提來料理。伊有清肺活血的功能，會當佮赤肉囥做伙燖，嘛會當煮羹。閣會當做瓊花的冰糖飲料，有澹喉、止嗽的效果，嘛會當做清涼退火的瓊花菜燕。           查埔：這表示我毋但有眼福，嘛有口福矣。     查某：你最近嚨喉無爽快，凡勢會使食一寡瓊花。,對話內底出現的「曇花一現」是啥物意思？,真難得的機會,物件一出現就隨消失去,瓊花一開，喜事就來,美好的事物總是較顯目
6302537,近代的中國畫家李可染捌指出講，「寫生」是畫家行向生活，認捌生活，予生活的感受變豐富，累積創作經驗佮創作來源中上重要的一項工課。咱借著大自然的景緻有濟濟變化，對現實世界描繪、改變，同時轉換做自我表達的形象，共創作的內容變閣較豐富。,請問以下佗一个毋是本文中「寫生」正確的描述?,畫家的創作來源,畫家表達家己形象的方式,畫家共生活的感受變豐富的方式,畫家對虛擬世界創作的內容
6312537,"查埔：「聽講恁遮有一个烏虎泉，你敢知影佇咧啥物所在？」
查某：「先生，你覆踮這个窗仔台對外口看出去，彼敢毋是烏虎泉？」",請問這段對話的主題是啥物？,泉水號名原因,泉水水量大細,泉水水質好䆀,泉水是佇佗位
6322537,古蹟佮歷史建築所包含的款式差不多遍及各種人起的物件。大約來講，分做下面十外種，譬論講：徛家、商業、宗教信仰、行政、社會福利、服務救濟、交通通信、公共設施、休閒、軍事、喪葬、教育、醫療建築等等。物件本身保存維護的方式嘛就按呢無仝。共同點是：通反映彼所在彼時的歷史文化、建築技術、在地特色，表現人類的主體思考。,請問下面的說明佗一个是正確的？,歷史建築會當表現人類的思想文化,古蹟佮歷史建築類干焦十種,建築維護的條件是用年代來分類的,古蹟維護比歷史建築較簡單
6332537,S.H.E是台灣通人知的女子演唱團體，佇全世界有專輯銷售超過一千六百萬塊的好成績。是台灣目前上長歲壽的女子演唱團體，閣予人呵咾是華人第一女子天團。佮唱片公司的合約結束了後，三位成員隨人成立公司，猶毋過無宣佈解散，日後猶閣有機會會當看著三位成員以S.H.E的名義來參與活動。,請根據紹介，選出正確的答案。,S.H.E的成員隨人發展事業,S.H.E解散矣,S.H.E有兩个查埔佮一个查某,S.H.E有一个彈gih-tah的
6342537,"A：咱上尾工愛表演十五分鐘的成果戲劇-『哈利波特遊台灣』，愛有四位主角來演兩幕：一幕是九又四分之三月台，一幕是第一工上課分配去四間房間，其他的學生仔愛用有學過的句型來講出家己的魔法，而且愛表演出來。
B：老師，我想欲表演魔術，誰欲演哈利波特？我想欲演主角。
A：恁上無愛用著這四句：我上佮意的…就是，對我來講…，一點仔嘛袂…，講出我的魔法就會使。",請問學生需要用下面佗一種句型來講出我的魔法?,若親像,袂,因為...所以講,我上佮意的
6352537,第二十九屆金曲獎上好的年度歌曲《花仔》，是一條華台語相濫的歌曲，是李小明作曲佮演唱，伊嘛得著彼屆上好的作曲人的獎，這條歌是為《當少年的查埔囡仔戀愛記》這齣戲劇來創作的主題歌曲，嘛是李小明做男主角的戲劇作品，過去伊干焦捌佇電影插花仔。借著這齣戲劇予伊第一擺入圍金鐘就提兩項大獎轉去，第五十三屆上好的戲劇節目男主角獎佮戲劇節目新進演員獎。,第五十三屆金鐘獎是李小明第幾擺入圍?,頭擺,第三擺,第五擺,毋知
6362537,元宵節是舊曆年頭一个滿月的暗暝，這是春節的上路尾工，代表春天咧欲來啊。佇日本時代的臺灣總督府特別允准佇艋舺龍山寺舉辦燈會，直直到今，龍山寺猶保留軁燈跤的風俗。除了軁燈跤掠外，較早佇臺灣元宵節閣有「臆謎猜」。,請問佗一个是正式臆謎猜的題目？,雨後春筍─新竹,春江水暖鴨先知,啥物人兜無電話？─天衣,一元復始萬象更新
6372537,查埔：咱臺灣各地攏會當食著肉圓，你知影這之間的差別無？     查某：肉圓的外皮主要是用番薯粉做的，嘛有人會濫在來米的米漿，啊比例無仝，喙尾嘛無仝。嘛有人講：「南炊北糋」這个詞說明了臺灣南北煮肉圓的方式無相仝，毋過我感覺每一个所在肉圓的餡嘛都無仝款。             查埔：會記得我頂改佇新竹食的肉圓，是對油鼎內底撈出來的，餡是紅糟肉佮栗子，誠特別！ 蒜茸醬料嘛誠芳。             查某：新竹的肉圓猶有包紅糟肉佮蔥仔的蔥肉肉圓。我閣捌食過彰化的肉圓，有糋油的嘛有用炊的，而且比新竹的肉圓閣較大粒，包餡主要是用豬肉、香菇、筍丁。                  查埔：聽講台南有名的蝦仁肉圓是用炊的，餡是用火燒蝦佮赤肉做的，誠清甜好食。屏東嘛有肉圓是用炊的，餡是定定看會著的豬肉佮香菇。         查某：蝦仁肉圓聽起來是真特別，後擺有機會咱做伙來去食這个出名的點心。,根據這段對話，若準想欲食包海產餡的肉圓，愛揀佗位的？,新竹,彰化,臺南,屏東
6382537,佛誕日是講慶祝佛教創始者釋迦牟尼佛出世的日子，佇漢傳佛教佮藏傳佛教訂佇舊曆四月初八，閣號做「浴佛節」。相傳佇兩千六百外年前，印度迦毘羅衛國的王后摩呢夫人佇藍毗尼花園的無憂樹跤，共悉達多太子生落來。太子出世了後，一手指向天頂，一手指向塗跤，講：「天上天下，唯我獨尊。」意思是講，伊經過誠久的修行過程，欲佇人間成佛。所以，無論佇人間抑是天頂，袂閣有贏會過伊的人。這時陣對天頂落花雨，九龍吐水，沖佇王子的身軀頂。這就是傳說中佛祖生的由來。,請問悉達多太子佇咧出世的時，產生啥物天象？,天降花雨，九龍吐水,一四界攏聽著仙樂,大地動,百鳥來朝
6392537,《戰地鐘聲》內底亨利中尉真興食酒，伊會當用一杯好酒代替暗報，代替細細酒館的黃昏，代替這個月開花的一切樹仔，代替佇林園道跑走的馬，代替冊店、報紙擔、畫廊，代替一切伊捌享受煞暫時袂記得的物件；若是這不過是作者海明威的生活現實爾爾。,佗一个毋是亨利中尉啉酒的理由？,交陪。,代替暗報。,回想過去。,代替畫廊。
6402537,"昨暗欲倒糞埽，咧等糞埽車的時聽著這段對話：
男：恁阿姊的翁婿有較好矣無？
女：哪會好？彼親像咧食毒仝款。
男：嗯？啥物意思？
女：阮姊夫中風啦，蹛佇療養院。意思是講，中風和食毒仝款，攏袂好矣。
男：喔，我舞予清楚矣，原來是共中風比喻做食毒。
女：平常時愛加運動，著愛改薫閣改酒。
男：這嘛歹講，有當時仔中風嘛佮遺傳有關係。
女：毋過濟少會當降低中風的機率。
男：我以後會卡捷去公園做運動。",講著這位小姐的姊夫，佗一个選項是正確的？,食毒,中風。,食酒。,食薰。
6412537,米是較早臺灣人的主食，以品種來分，會使分做在來米、蓬萊米、秫米。當時先民自中國徙來臺灣的時，共在來米引入來。在來米瘦瘦長長，較透光，煮熟了後食起來較焦較𠕇，鬆鬆散散袂黏，適合做成米篩目、菜頭粿、發粿、碗粿、米粉。日本統治臺灣的時，食袂慣勢臺灣的在來米，就共蓬萊米引入來，佇草山竹仔湖培育成功。蓬萊米圓圓短短，會透光，較黏，是咱定咧食的清飯。秫米袂透光，煮熟了後較軟較黏。根據米的外形，會使閣分做較短較圓的圓秫米佮較長的長秫米。圓秫米較捷用來做甜粿、麻糍、圓仔、八寶糜，長秫米用來做飯丸、米糕、油飯、粽。,在來米佮蓬萊米有啥物無仝？,兩種的外型佮黏度攏無仝。,兩種的外型無仝，毋過黏度仝款。,兩種的外型仝款，毋過黏度無仝。,兩種的外型、黏度相𫝛，干焦名無仝。
6422537,"這幾年來，愈來愈濟金光黨利用電話、訊息來共民眾騙錢，政府為著欲阻止民眾去hőng騙去，提供民眾查詢的管道，2004年成立「165反詐騙諮詢專線」。假使講懷疑家己接著金光黨的電話，只要用厝裡的電話抑是手機仔直接敲165，就會使問佮詐騙有關係的問題。
政府共民眾提醒，若是接著懷疑是詐騙的電話，一定愛「一聽、二掛、三查」。一聽：聽清楚這通電話咧講啥？敢有啥物關鍵詞？二掛：聽了，隨共電話掛掉。莫予別人控制你的心情。三查：緊敲165反詐騙專線，共聽著的電話內容攏共165的服務人員講，予伊查看覓敢是詐騙的電話，較免無細膩去hőng騙去。",根據這篇文章，下壁面佗一个是對的？,民眾會當傳訊息予165反詐騙諮詢專線,政府有法律規定接著電話了後著愛敲165,165專線是一个查詢電話號碼的服務機構,165反詐騙諮詢專線已經存在超過10年矣
6432537,近年臺灣增加足濟新移民，𪜶毋但增加大量的人力，嘛共𪜶在地的文化傳入來，潑水節就是一个例。潑水節是泰語民族佮東南亞地區上大的傳統節日，泰國、寮國、斯里蘭卡、緬甸、柬埔寨等國以及雲南傣族攏會同齊慶祝。規个節慶會鬧熱幾若工，眾人一透早起來會先恭敬的來洗浴禮佛，紲落來開始連續足濟工的慶祝活動。佇咧這段期間，逐家會用純淨的清水相互潑掖，祈求閣揮別頂年的厄運，佇新的一年重新出發。潑水節的頭兩工是除舊，最後一工是迎新。,請問：佇潑水節，逐家為啥物愛用清水來互相潑掖？,互相共身體洗予清氣,互相幫贊來清涼消暑,希望會當共前一年的厄運洗掉,希望講會當共前一年的厄運洗掉，佇新的一年重新出發
6442537,"鄒族人本底主要是咧拍獵、做田，這馬因為政府的法規禁止拍獵，鄒族人只好改變生活方式佮型態，搬出自本的部落家園向外討趁。有的人選擇做茶商，學挽茶佮種茶的技術；有的人改種ua-sa-bih等等經濟作物，做小可生理。毋過，袂少鄒族人認為嘛是先人的生產方式佮型態較適合in。
",請問根據這段文章，下列佗一个說明正確？,鄒族人因為政府法規問題停止拍獵,鄒族人原本是咧做茶米的買賣,Kài-lua̍h是鄒族人原底有的農作物,鄒人搬離部落是為著欲都市化
6452537,"女：佇國外聽著管風琴現場演奏，予伊的音色和體積驚一趒，臺灣敢有管風琴的演奏？
男：管風琴是體積上大的樂器，每一台琴攏是有考量建築的空間來斟酌設計的，音色是獨一無二。臺灣目前有二十九台，親像佇國家音樂廳、屏東演藝廳、衛武營國家藝術中心攏有。
女：全台上大台的咧？
男：原底是國家音樂廳，毋過衛武營起好了後，冠軍的寶座就讓人坐囉。",根據這段對話，全臺灣上大台的管風琴佇佗位？,衛武營國家藝術中心,屏東演藝廳,國家音樂廳,無講著
6462537,製作民族誌之前愛選定一塊田野，設定一段時間，以各種觀察法定點調查，盡量收集田野的第一手資料。觀察者佇觀察中深入了解、學習，佮在地人互動。就按呢，觀察者嘛是生產民族誌的一部分。調查完成了後，觀察者必須會當對記錄材料中探究目標對象所屬的生產方式、歷史傳承、生活型態、信仰儀式、文化系統到世界觀。以歸納呈現出觀察對象的文化生命力佮特殊性，藉此啟發讀者對民族誌記錄對象的文化思索佮自我叩問。,請問這篇文章主要咧講啥？,民族誌的觀察對象,製作民族誌愛有的材料,說明欲按怎做民族誌佮伊的價值意義,影響民族誌紀錄的決定因素
6472537,英國作家喬治·歐威爾捌佇巴黎、倫敦有一段不止辛苦的散工生涯，彼段家己放棄家己的日子，嘛是伊後來寫作的養份來源。伊是英國的小康家庭出身，煞選擇過一段做散工的生活，這通講是伊的一種自我救贖。伊共這段經歷寫做《巴黎倫敦流浪記》，這本冊遠遠無伊的《1984》出名，毋過我煞真佮意這本冊，因為佇這本冊，通真正看著伊面對困境的心聲，我感覺彼才是作家上實在閣上感動人的一面。,為何《巴黎倫敦流浪記》好看？,猜疑刺激。,美艷熱情。,真感動人。,曲折離奇。
6482537,"A：藝術家薩拉切諾的裝置作品《軌道頂》咧德國展覽的時，用三層的亞鉛網做基本結構，這三層的空間相通，參觀者會當對下層𬦰到頂層。
B：所以你的意思是講參觀者咧網頂行的時陣，只要徙位一步，三層網仔會做伙振動著，網頂別个參觀者嘛會感受著對網索傳來的振動？",照頂面的描述，佗一項正確？,裝置作品的名叫做〈三層樓厝〉,來參觀的干焦會當看，袂使到頂層,裝置作品用三層白鐵仔絲做底,一个參觀者咧徙位的時陣，袂影響著別人
6492537,"男：你拄才講急欲走，是有啥物代誌？
女：我佮練鼓室時間約好矣，愛趕去練鼓，來準備後擺的樂團演出。
男：原來練鼓袂使踮厝的練，閣愛特別去練鼓室hioh？
女：是啊，厝--lìn無空間，閣會共厝邊仔吵著。
男：原來是按呢。你趕緊去練習，期待你了後的演出。",根據對話，請問這查某想欲創啥？,伊攢好欲佮這个查埔做伙去食暗頓。,伊準備欲去練鼓室練拍鼓。,伊想欲去看電影。,伊干焦想欲轉去歇睏。
