漢字,華語
學問真深,學問很淵博
深山林內,深山裡
年久月深,時間經歷很久
這本冊足深。,這本書很難。
伊近視真深。,他近視很深。
這領衫色較深。,這件衣服顏色較深。
深藍色,深藍色
淹水,淹水
淹過,淹過、蓋過
水真淺。,水很淺。
淺海,淺海
這間厝傷淺，袂當做生理。,這房子太短淺，沒辦法做生意。
淺盤,淺盤
淺色,淺色
淺眠,不熟睡
交情淺,交情不深
這本冊較淺。,這本書比較淺顯。
伊近視較淺。,他近視度數較淺。
這副目鏡度數傷淺。,這副眼鏡度數太淺。
錦上添花,錦上添花
添丁,添丁
賣你五百我會了錢，你閣添五十我就賣你。,賣你五百塊我會虧本，你再加五十元我就賣給你。
無夠我才添你。,不夠我再補給你。
添飯,添飯
家己添,自己添
這張申請單你緊共提去添添咧。,這張申請單你趕快拿去填一填。
你著愛看較清、認較明咧。,你要看清楚一點、認明白一點。
咱共灶跤清清咧。,我們把廚房清理一下。
清數,清算帳目
這款花草較清較好看。,這種花色比較清爽比較好看。
清湯,清湯
清冰,清冰
工課做了，心規个攏清起來。,工作做完，心情整個都舒暢起來。
清心,清心
清廉,清廉
清高,清高
清寒,清寒
清苦,清寒貧苦
蝦仔滒粉落去烰。,蝦子裹粉下去炸。
烰圓仔,水煮湯圓
祝恁添丁大發財。,祝你們早生貴子發大財。
雨落遮爾大，我看會淹大水。,雨下得這麼大，我看會鬧水災。
𪜶兜淹水矣。,他家淹水了。
囡仔大漢了後，序大人就較清心。,小孩長大之後，長輩就比較清心。
你最近看起來敢若較清心。,你最近看起來好像比較愉快。
用清水洗,用清水洗
你若想欲清火，會使加啉一寡綠豆湯。,你如果想要清除體內的火氣，可以多喝點綠豆湯。
伊較佮意淺色的衫。,他較喜歡顏色較淺的衣服。
萬丈深坑,萬丈深坑
你袂使穿淺拖仔去學校。,你不可以穿拖鞋去學校。
伊便若去廟裡拜拜，攏會添油香。,他只要去廟裡拜拜，都會捐香油錢。
公園內的花蕊真清芳。,公園裡的花朵很清香。
你毋通去外口淋雨。,你不要到外面淋雨。
伊這間新厝看著真清幽。,他這間新家看起來很清幽。
來啊！燒淨香，點束柴，敲鐘擂鼓，迎接侍候。,一般布袋戲中主人面對重要客人來臨時所說的話。
我的房間不時攏真清氣。,我的房間經常都很乾淨。
彼个查某囡仔看起來誠清氣相。,那個女孩子看起來很清秀。
這間飯店加真清氣相。,這間飯店乾淨多了。 
伊真淺眠。,他睡覺時很容易醒來。
日本清酒,日本清酒
我毋知水池仔的深淺。,我不知道水池的深度。
阿英欲嫁矣，親情朋友攏包紅包共伊添粧。,小英要嫁人了，親朋好友都送紅包當賀禮。
伊這站仔足清閒的，規日攏咧遊山玩水。,他這一陣子很悠閒，整天都在遊山玩水。
你先去添飯，連鞭湯捀出去就聽好食飯矣。,你先去盛飯，等一下湯端出去就可用餐了。
伊到今攏毋肯出面，淺想嘛知代誌一定是伊做的。,到現在他仍不肯出面，不用想也知道事情一定是他幹的。
人講做官若清廉，食飯著攪鹽。,人家說當官如果清廉，生活就會清苦，比喻無官不貪的情況。
替人傳話毋通添話，無，會惹是非。,替人傳話不要添油加醋，不然，會招惹是非。
拜拜求平安、添福壽。,拜拜求平安、添福壽。
欲過年矣，你聽好去清數矣。,要過年了，你可以去結清帳目了。
我遮閣有淡薄仔錢會當借你。,我這還有一點錢可以借你。
手冷捀燒茶焐予燒。,手冷冷的端熱開水來將手弄溫暖。
提冰枕焐頭殼。,拿冰枕放在頭上降溫。
伊無細膩去摸著燒鼎，手去焐一搭。,他不小心摸到熱鍋，被鍋邊烙了一處傷痕。
爽啦！我著頭獎矣！,爽啦！我中頭獎了！
囡仔共伊牽一下。,牽一下小孩。
牽電火,裝電燈
牽電話,裝電話
這个學生愛特別共伊牽。,這個學生需要特別帶領。
這層代誌莫牽著伊。,這件事情不要牽連到他。
是啥人遮𠢕牽？講遮久。,是誰這麼會扯？講這麼久。
伊昨昏去牽一台轎車。,他昨天去買了一部轎車。
門圈,門環
門愛圈予好。,門要扣好。
你的腹肚哪會遐爾大圈？愛較捷運動咧！,你的肚子怎麼那麼大？要常運動啦！
駛犁,駕駛犁
牛犁,牛犁
犁田,犁田
雨落遮大，伊閣一直犁去。,雨下這麼大，他還一直衝過去。
頭犁犁坐佇遐看報紙。,低著頭坐在那裡看報紙。
車駛遐猛足危險。,車開那麼快很危險。
猛虎難敵猴群。,再凶猛的老虎也敵不過成群的猴子。比喻寡不敵眾。
跤手較猛咧，無會做袂赴。,你動作快一點，否則會來不及。
日頭遮爾猛，天氣有夠熱。,太陽這麼大，天氣很熱。
火真猛,火勢很猛
逐家來猜謎。,大家來猜謎
燈猜,燈謎
謎猜,謎語
你身軀紮遐濟錢，毋通現出來予人看著。,你身上帶這麼多錢，不可露出來被人看到。
妖精現出原形。,妖精露出原形。
一千賒毋值八百現。,一千元的賒帳不如八百元的現金。
現金,現金
現貨,現貨
車現欲來矣，你才講無愛去。,車子馬上要到了，你才說不要去。
現挽現食,現摘現吃
現在,現在
現代,現代
現今,現今
現場,現場
我聽甲足現。,我聽得很清楚。
逐家攏看現現。,大家都看得很清楚。
籃球,籃球
一粒球,一粒球
你敢捌看人咧牽亡？,你有看過人家在牽亡魂嗎？
阮牽手透早就去菜市仔買菜矣。,我太太一大早就去菜市場買菜了。
彼兩个囡仔牽手行鬥陣，有夠古錐。,那兩個小孩子手牽著手走在一起，真的很可愛。
牽牛去食草。,把牛牽去吃草。
炒青菜愛用猛火。,炒青菜要用強一點的火。
門圈仔,門環
桶圈仔,桶邊的提環
大人大種矣，閣按呢冤家相拍，實在足現世的。,都是大人了，還這樣又吵又打，真的非常丟人現眼。
伊昨暗騎車想欲表演特技，無拄好煞犁田。,他昨晚騎車想表演特技，很不巧摔車了。
伊猶閣少年，向望你共伊牽成。,他還年輕，希望你能多多提拔他。
現此時的人攏較會曉享受。,現在的人都比較懂得享受。
牽尪姨，順話尾。,靈媒順人心意說話。也用來罵人說話不實在。
𪜶兩个啉燒酒啉甲真爽快。,他們兩個人喝酒喝得很開心。
天氣誠涼，予我感覺真爽快。,天氣真涼爽，讓我覺得很舒服。
藥仔食了人加真爽快。,藥吃下去後感覺舒服多了。
伊牽抾我趁足濟錢。,他拉拔我讓我賺不少錢。
遐的代誌佮我無關係，莫牽拖做伙。,那些事情和我無關，不要牽連在一起。
代誌現拄現就是按呢，你欲閣諍啥物？,事實明明就是如此，你還要爭什麼？
伊是阮牽的。,他是我太太。
這間店干焦接受現金的買賣。,這間店只接受現金交易。
去港仔邊買現流仔，毋但鮮嘛加真俗。,去小港邊買現捕海鮮，不但新鮮也很便宜。
師傅牽師仔。,師傅帶徒弟習藝。
你莫看伊瘦，伊瘦罔瘦，猶閣誠有牽挽。,你不要看他瘦小，他瘦雖瘦，還是很有耐力的。
牽罟倚索分魚有人有份，大肚分雙份。,牽罟只要靠到繩索便能分到好處，懷孕的人分雙份。
伊穿衫刁持現胸。,他穿衣服故意袒胸。
這件代誌現現就是你做的，你閣諍無。,這件事明明就是你做的，你還要爭辯說你沒有。
你拄才講啥逐家聽現現，袂使閣反悔。,你剛才說什麼大家聽得清清楚楚，不能再反悔了。
相牽連,相關連
你莫看伊穿甲真奅，其實伊是一个牽猴仔。,你別看他穿得時髦，其實他只是一個皮條客罷了。
伊是做牽猴仔的，專門咧趁中人錢。,他是個仲介商，專門賺取仲介費。
你莫烏白猜想。,你不要胡亂猜想。
伊做人真現實。,他做人很現實。
若毋是伊牽線，我佮阮某嘛袂熟似。,要不是他從中牽線，我和我太太也不會認識。
一切攏是伊咧牽線，佮別人無底代。,一切都是他在暗中操縱，與別人無關。
牽豬哥趁暢。,牽種豬配種，公豬在交配，自己在旁邊看著也快樂。比喻幫人媒介色情，空歡喜，乾過癮。
你下暗睏的時愛較猛醒咧。,你今晚睡覺的時候要提高警覺。
伊跤手真猛醒。,他手腳真敏捷。
伊是咧牽羅經的。,他是在看風水的。即風水師。
你按呢講有理。,你這樣講有道理。
這罐藥仔是理風寒的，你緊提去食。,這罐藥是治療風寒的，你趕快拿去吃。
花瓶,花瓶
酒瓶,酒瓶
燒瓷,燒製瓷器
這種餅真甜。,這種餅很甜。
伊的笑容真甜。,他的笑容很甜。
喙真甜,嘴巴很甜，很會說話
產期,胎兒預計出生的日期
生產,生產
產銷,產銷
產量,產量
產地,產地
海產,海產
特產,特產
財產,財產
種菜莫傷疏嘛莫傷密，才種會媠。,種菜別太稀疏也別太密集，才種得好。
疏文,疏文
讀疏,讀疏文
注疏,注疏
痔瘡,痔瘡
外痔,外痔
船過水無痕。,指人忘恩負義；也指事情發生過後，沒留下一點痕跡。
割一痕,割一道痕跡
鐵盒,鐵盒
禮盒,禮盒
一盒餅,一盒餅
興盛,興盛
盛大,盛大
你予我小眯一下，我才陪你去。,你讓我小睡一下，我再陪你去。
你去共偷眯一下，看伊咧創啥 。,你去瞄他一下，看他在做什麼。
目睭眵眵,瞇著眼看不清楚東西
家眷,家眷
眷屬,眷屬
彼本冊借我眼一下。,那本書借我看一下。
有眼無珠,有眼無珠
你一人對眾人敢諍會贏人？,你一個人爭得贏大家嗎？
這號問題簡簡單單，眾人捌的曷著你講。,這種問題很簡單，一般人都知道的還用你來說。
彼件代誌我干焦略仔知爾爾。,那件事我只是約略知道而已。
你是眵目是毋？粉鳥煞看做斑鴿。,你是眼花了是吧？鴿子竟然看成斑鳩。
伊眼光誠好，知影彼幅圖會起大價。,他的鑒賞力很好，知道那幅畫行情會看漲。
眼前咱愛先解決錢的問題。,目前我們要先解決錢的問題。
日本點心甜粅粅，食濟會大箍。,日本點心很甜，吃多了會胖。
伊目睭眵眵看無明。,他的眼睛瞇瞇的看不清楚。
車尾有略略仔硞著。,車尾稍微有撞到。
看毋是勢，趕緊疏開。,看情勢不對，趕快開溜。
老師教課的內容你著愛理解才會用得。,老師教課的內容你要了解才可以。
阮序大人攏是誠理解的人。,我父母都是很開明的人。
𪜶兄弟仔的感情真疏遠，無像兄弟仔。,他們兄弟的感情很疏遠，不像親兄弟。
你若感覺你受著無合理的對待，一定愛勇敢佮對方理論。,如果你覺得受到不合理的對待，一定要勇敢和對方理論。
公園內面的花草較疏櫳。,公園裡面的花草比較稀疏。
支票,支票
車票,車票
選票,選票
祭神,祭神
祭拜,祭拜
用酒窒仔共這罐酒窒起來。,用酒瓶塞把這瓶酒塞起來。
文章,文章
章回小說,章回小說
第一章,第一章
奏章,奏章
文章,文章
第三章,第三章
甲箬笠,以竹籜製成的斗笠
笠仔,斗笠
兵符,兵符
符仔,符籙
笨跤笨手,笨手笨腳
第一名,第一名
第五號,第五號
落第,名落孫山
魚笱,捕魚用的竹簍
搖笱,竹搖籃
走第一,跑在最前頭
第一巧,最聰明的
草窒仔,草塞、軟木塞
伊用符仔作法。,他用符籙施行法術。
伊是阮祧仔內的。,他是我們同宗的。
這款物件敢會當祭孤？,這種東西能吃嗎？
按呢敢會祭孤得？,這樣能見人嗎？
祭祀公業,祭祀公業
這種𨑨迌物仔外面窒倒街，免驚無地買。,這種玩具外面到處都是，不用怕買不到。
清明的時陣阮兜攏會祭祖。,清明的時候我家都會祭祀祖先。
腹肚枵到地矣，看著啥物會食得的物件攏提來窒喙空。,肚子餓扁了，看到什麼可吃的都拿來果腹。
用錢共伊窒喙空。,用錢收買他，要他別說出來。
你竟然敢毋聽我的話。,你居然敢不聽我的話。
組織章程,組織章程
飯粒,飯粒
共粒𣁳起來，湯莫啉。,把湯料舀起來，湯不要喝。
一粒石頭,一粒石頭
今仔日的飯有較粒。,今天的飯稍微硬了點。
粒仔,皮膚上的膿瘡
甘蔗粕,已被榨過汁的甘蔗渣
粗菜,不是很精緻的菜餚
我的皮膚真粗。,我的皮膚粗粗的，一點也不光滑。
囡仔人講話毋通遐爾粗。,小孩子說話不可以那麼粗俗。
本錢真粗。,本錢雄厚。
衫裂去，愛緊紩紩咧。,衣服裂開來了，要趕快縫一縫。
紩衫,縫衣服
牽紬,縫合衣服的布緣
身軀無紮錢。,身上沒帶錢。
欲落雨矣，出門愛紮雨傘。,快下雨了，出門要帶雨傘。
紮便當,帶便當
紮跤紮仔,打綁腿
細粒柑仔,小顆橘子
細漢囡仔,小孩子、小朋友
細條巷仔,小巷子
講話較細聲咧。,說話聲音小一點。
無大無細。,忽略了長幼尊卑的地位區別。也就是目無尊長的意思。
伊嫁人做細的。,他嫁人做妾。
你先去食飯，賰的工課我紲落去做就好。,你先去吃飯，剩下的工作我接著做就好。
紺色,深藍色
琴絃,琴絃
兩人一組。,兩人一組。
伊想欲買一組膨椅。,他想要買一套沙發。
纏絆,纏住牽絆
研缽,研磨藥材用的缽
羞！羞！羞！袂見笑！,羞！羞！羞！不要臉！
這粗工毋是你這款幼秀的人會當做的。,這粗重的工作，不是你這樣秀氣的人可以做的。
到時陣愛麻煩你共我紹介予恁頭家。,到時候要麻煩你把我介紹給你的老闆。
你若欲出去，門紲手關起來。,你如果要出去，門順手關上。
我請你買的物件是欲粗用的爾爾，免買傷好。,我請你買的東西只是平常要用的而已，別買太好的。
你愛坐大位，我坐細位就好。,你要坐在主位上，我坐在下座就可。
終身大事,終身大事
話講了袂紲拍。,話說得不流利。
這是粗俗物件毋值幾仙錢啦！,這是便宜的東西值不了多少錢啦！
阮阿叔的漢草真粗勇。,我叔叔的體格很粗壯。
這款索仔較粗勇。,這種繩子比較結實耐用。
這種粗俗物仔，買來粗用就好。,這種便宜貨，買回來當普通用就可以。
伊毋願做人的細姨。,他不願意當人家的小老婆。
遮的舊衫留咧粗穿。,這些舊衣服留著當居家工作服。
遮的柴料真粗重。,這些木材很重。
這馬粗重的工課攏用機械咧做。,現在粗重的工作都用機械在做。
紩衫雖罔是簡單的代誌，無學嘛是袂曉。,縫衣服雖說是簡單的事，但沒學還是不會。
粗瓷耐礙,陶器耐用
你買的柑仔粕粕無湯，足歹食。,你買的橘子乾乾鬆鬆的沒有湯汁，真難吃。
伊人生做細粒子，毋過力頭閣真飽。,他的個子雖嬌小，但力氣卻很大。
這鰇魚仔絲是愈食愈紲喙。,這魷魚絲是愈吃愈好吃。
你閣講甲真紲喙喔！,你還講得很順口喔！通常用在指人說謊、圓謊時。
食鹹的了後，換食甜的紲喙尾。,吃了鹹的後，改吃甜的換口味。
攏是一寡粗菜便飯，你毋通棄嫌。,都是一些家常便飯，請勿嫌棄。
代誌已經按呢生矣，紲落去欲按怎咧？,事情已到這個地步了，接下來要怎麼做呢？
路邊擔仔食粗飽好，若欲講究愛去大飯店食。,路邊攤填飽肚子可以，若真要講究要去大飯店吃。
我已經習慣這款生活。,我已經習慣這種生活。
歹習慣,壞習慣
伊生做較細漢。,他的身材矮小了點。
伊猶細漢。,他年紀還小。
細漢囡仔,小孩子
細漢的時陣,小時候
細漢囝,排行最小的孩子
咱對查某囡仔愛溫柔體貼，毋通傷粗魯。,我們對待女孩子要溫柔體貼，不可太過粗魯。
三代粒積，一代開空。,聚積了三代的財富，卻被後代不孝子孫短時間內揮霍殆盡。
你做代誌愛較細膩咧。,你做事要小心謹慎點。
今仔日這頓我請，愛食啥做你點，毋通細膩。,今天這餐我請客，想吃什麼儘管點，不要客氣。
出門愛紮錢。,出門要帶錢。
講話愛較細聲咧，才袂吵著別人。,講話要小聲一點，才不會去吵到別人。
含脣,上嘴脣含住下嘴脣
耳仔脣,耳緣
帽仔脣,帽緣
脫水,把溼掉的物品的水分瀝乾
脫險,脫離危險
脫輪,骨頭移位
菜脯,蘿蔔乾
魚脯,小魚乾
柑仔脯去矣。,橘子乾癟掉了。
脯脯無湯,乾乾的沒有水分
舂米,把稻穀的外殼去掉，而保留其中的米粒。
出力對伊的胸坎舂落去。,用力對著他的胸部揍下去。
用別人的拳頭拇舂石獅。,用別人的拳頭去擊打石獅子。比喻借用別人的力量來圖謀自己的利益。
布莊,布莊
這台機車猶新新，真好脫手。,這輛機車還蠻新的，很容易轉手。
昨昏下晡掠著的膨鼠去予伊脫走去！,昨天下午抓到的松鼠被牠脫逃了！
焦脯脯,乾癟
燒茶聊聊仔啉。,熱茶慢慢喝。
這擺的會議真重要，毋通閣脫箠矣。,這次的會議很重要，別再出差錯了。
你是按怎逐擺攏會袂記得，實在有夠脫線。,你為什麼每次都會忘記，實在很散漫。
伊拍球傷出力，手骨煞脫輪。,他打球太用力，手臂意外脫臼。
豆莢,豆莢
一莢塗豆,一莢花生
莫非,難道
莫怪,難怪
你莫烏白呸喙瀾！,你不要亂吐口水！
血蚶,血蚶
頂目蚶,眼瞼
愛食糖仔閣貧惰洗喙，莫怪喙齒蛀幾若空。,愛吃糖又懶得刷牙，難怪牙齒蛀好幾個洞。
水蛆,孑孓
你若不時欲做違法的代誌，早慢會予人㨑去接受處份。,你若常做違法的勾當，遲早會被逮去接受處罰。
原來是欲佮查某囡仔去看電影，莫怪伊喙笑目笑。,原來就是要和女孩子去看電影，怪不得他眉開眼笑。
莫非代誌是伊做的，無，伊哪會攏無出面？,難道事情是他做的，要不然，他怎麼都沒有出面？
麻煩你替我處理這件代誌。,麻煩你幫我處理這件事情。
這件代誌你是欲按怎處置？,這件事情你要怎麼處理？
莫講大人，這个道理連囡仔都知影。,不要說大人了，這個道理連小孩子都知道。
食柴的白蟻、食冊的剪蟲仔、食米的蛀龜攏總叫做蛀蟲。,吃木頭的白蟻、吃書的蠹蟲、吃米的米象都叫做蛀蟲。
伊會術人的錢，你愛細膩。,他會拐騙人家的錢，你要小心。
藝術,藝術
法術,法術
布袋,布袋
伊橐袋仔內有袋錢。,他口袋裡裝著錢。
一袋米,一袋米
伊共面巾袚佇肩胛頭。,他把毛巾披掛在肩膀上。
一袚珠仔鍊,一串珠鍊
跤相袚,蹺腳、雙腿交疊
腦筋袚袚,頭腦打結、不清楚
被告,被告
被害人,被害人
眠床頂舒一領被。,床鋪上鋪一條被子。
蓋被,蓋被子
圓規,圓規
規則,規則
規路攏是人。,整條路上都是人。
覓頭路,找工作
這種茶真甘，你啉看覓。,這種茶很甘甜，你喝喝看。
祕訣,特殊的技巧或方法
江湖一點訣，講破毋值三仙錢。,江湖上只有一個訣竅，說穿了不值三分錢。
口訣,口訣
伊的工廠設佇越南。,他的工廠設在越南。
莫來這套，我予你袂設得。,少來這套，我不會上你的當。
魚仔豉鹽落去煎。,魚要醃一點鹽再放下去煎。
豉鹹菜,用鹽來醃漬芥菜
空喙抹著藥水會豉。,傷口在上藥的時候有刺痛感。
聽著車禍的消息，伊規个人攏愣去。,聽到車禍的消息，他整個人都傻了。
第二次大戰死去的人有規千萬。,第二次大戰死去的人有成千上萬。
伊規心欲考大學。,他一心想要考上大學。
雞規爿食了了。,半隻雞吃光光。
伊規世人食苦，毋捌享受過。,他一輩子吃苦，不曾享受過。
欲起厝愛有政府許可。,想蓋房子要有政府許可。
伊規年迵天攏佇國外。,他一整年都在國外。
伊走去覕佇庄跤，歸尾嘛是予債主揣著。,他躲到鄉下去，最後還是被債主找到。
你愛加減運動，無，歲頭濟的時，會規身軀無氣力通好振動。,你多少要運動一下，不然，年紀大時，全身會連動都沒力氣。
阮老爸規定我暗時十點就愛轉去到厝裡。,我爸爸規定我晚上十點就要回到家裡。
這个規定誠無理。,這個規定很沒道理。
你予人設計去矣。,你被人設計了。
你這間厝設計了真媠。,你這間房子設計得真美。
規面壁攏烏烏。,整面牆壁都黑黑的。
𤶃仔發甲規面。,長了滿臉的青春痘。
我看代誌攏予伊做，按呢較規氣。,我看事情都交給他做，這樣比較乾脆。
這欲賣毋成錢，規氣送人。,這要賣也賣不了幾個錢，乾脆送人。
去人的公司上班，愛遵守人的規矩。,到人家的公司上班，要遵守人家的規矩。
這个囡仔做代誌誠規矩。,這個孩子做事情很規矩。
恁規陣人徛佇遐，是欲創啥？,你們一群人站在那裡，是想要做什麼？
疊規堆,積累成堆
這間電影院的設備真周全。,這間電影院的設備很完善。
你無為家己想，嘛著為囡仔的未來設想！,你不為自己想，也要為孩子的將來著想！
你毋通閣放蕩矣，愛為家己的將來設想！,你不要再放蕩了，要為自己的未來著想！
逐擺聽伊講話，我攏會規腹火。,每次聽他講話，我都會滿腔怒火。
規路攏是車，毋知欲窒甲當時。,整路都是車，不知要堵到何時。
用珠螺豉膎,醃鹹螺
伊無閒咧做生理，毋知𪜶某咧設緣投。,他忙著做生意，不知道他太太在養小白臉。
伊頷頸掛一條真大條的金袚鍊。,他的脖子上掛著一條很大條的金項鍊。
被囊剝起來洗。,被套拆下來洗。
高麗菜先豉鹽才落去炒，食著加真脆。,高麗菜先鹽漬再放下去炒，吃起來會覺得特別脆。
彼批貨敢通過海關矣？,那批商品通過海關了嗎？
販賣,販賣
販新貨來賣。,批新貨來賣。
規車的貨攏販你。,整車的貨都賣給你。
伊貪著人好額，才會去予人招。,他貪圖著人家有錢，才會給人招贅。
伊傷貪，才會去予諞仙仔諞去。,他太貪心，才會被騙子拐騙去。
霜風一直對門縫貫入來。,冷風一直從門縫鑽進來。
貫迵過,貫穿、穿過
牛著貫鼻，人著教示。,牛需要穿鼻孔戴鼻環，人需要教導。
貫耳,穿耳洞
拳頭拇對胸坎貫落去。,拳頭對著胸部重擊下去。
一貫念珠,一串佛珠
牛貫,牛的穿鼻環
錢貫,把古銅錢穿起來的繩子
赦你無罪。,赦免你的罪責。
手結趼,手結繭
跂跤,墊腳
跂較懸咧,墊高一點
這塊椅仔苴真軟。,這塊椅墊很柔軟。
跤軟手軟,手腳軟弱無力
軟心,心軟
這條路透車頭。,這條路直通到火車站。
透著別款種。,混到了別的品種。
透燒水,摻熱水
甜粿炊無透。,年糕沒蒸到熟透。
行透透,走遍
這齣戲做透矣。,這齣戲演完了。
透年,整年
透世人,一輩子
透風,颳風
風真透,風勢很強
透雨去作田。,冒雨去耕田。
透中晝,冒著正午的太陽
逐來逐去,追來追去
逐賊仔,追趕小偷
逐查某囡仔,追求女孩子
逐个人,每個人
逐家,大家
路途,路途
長途,長途
你是做佗一途的？,你是做哪一行的？
改途,轉行、轉業
這是啥物物件？,這是什麼東西？
這領衫,這一件衣服
這搭,這裡
有物件通食無？,有東西可以吃嗎？
通批,通信
通車,通車
通水溝仔,疏通水溝
想會通,想得通
想袂通,想不通
你佮伊講母語嘛會通。,你和他說母語也可以溝通。
通知,通知
通報,通報
通緝,通緝
通人知,所有的人都知道
萬事通,什麼事都很專精
按呢講有通。,這樣說合理。
一通電話,一通電話
一逝路,一趟路
行三逝,走三趟
一逝線,一條線
一逝字,一行字
長逝,長途、長程
短逝,短途、短程
逞性,放縱自己的心性
鋪橋造路,鋪橋造路
造船,造船
乾造,男命
坤造,女命
母仔囝連心。,母子連心。
褲帶結相連。,褲帶綁在一起。比喻形影相隨。
連連失敗,一再失敗
惜花連盆,愛屋及烏
連彼罐涼水總共是一百箍。,連同那瓶冷飲總共是一百元。
這个問題連老師傅都袂曉。,這個問題連老師傅都不會。
連遮大條的新聞都毋知。,連這麼大的新聞都不知道。
我今仔日足忝的！規身軀軟𩛩𩛩。,我今天很累！全身無力。
彼塊雞卵糕軟㽎㽎，誠好食！,那塊蛋糕軟綿綿的，很好吃！
伊的頭毛軟㽎㽎。,他的頭髮柔軟而富有彈性。
我逐个攏看過矣，攏毋是你的。,我每一個都看過了，都不是你的。
阿仁透中晝毋食飯，咧趕穡頭。,阿仁中午不吃飯，在趕工作。
伊遐貪心會無好尾。,他那麼貪心不會有好下場。
伊真軟心，你共拜託伊會共你鬥相共。,他心腸很軟，你拜託他，他會幫你忙。
伊穡頭真濟，透日攏咧趕工。,他工作很多，整天都在趕工。
伊逐日攏行路去買菜。,他每天都走路去買菜。
是毋是會當逃過這擺的劫數，就愛看伊的造化囉！,是不是能逃過這次的劫數，就要看他的造化囉！
規間厝舞甲亂操操，無，恁是咧造反是無？,整間房子弄得亂七八糟，難不成，你們是在搗亂？
冰的麥仔酒啉著透心涼。,冰啤酒喝下肚真是涼透頂。
伊透世人攏做仝一途。,他一輩子沒換過職業。
伊這世人真價值矣。,他這輩子活得很有意義。
照顧囡仔是爸母的責任。,照顧小孩是父母的責任。
這爿的窗仔愛安通光的玻璃。,這邊的窗戶要裝透明玻璃。
這間厝改了有較通光。,這間房子改裝後光線比較好。
做股票行情愛通光。,投資股票消息要靈通。
你是閣走去佗位連回？,你又跑到哪裡去丟人現眼？
彼間店透年攏無歇睏。,那間店一整年都不休息。
伊逐年攏會出國去𨑨迌。,他每年都會出國去玩。
伊透早就出門矣。,他大清早就出門了。
這間𥴊仔店的貨色誠齊全。,這間雜貨店的貨色很齊全。
抾貨尾,撿存貨
賣貨頭，卸貨尾。,以利潤較高的售價賣出新貨，再將存貨削價變現。
翁仔某行袂透尾。,夫妻不能白頭偕老。
恁兩个這馬敢閣有咧通批？,你們倆現在還在通信嗎？
伊實在真軟汫，予人講兩句仔就流目屎矣。,他實在很軟弱，被別人說兩句就掉眼淚了。
伊真軟汫，走無一時仔久就哼哼呻。,他真軟弱，跑不了多久就哇哇叫。
賰遮的貨底欲按怎處理？,剩下的這些存貨要怎麼處理？
你去共伊通知一下。,你去通知他一下。
伊透雨走出去買牛奶予囡仔啉。,他冒雨跑出去買牛奶給小孩喝。
透流生狂湧,驚濤駭浪
代誌欲做著愛透流。,做事要有始有終。
翁某著愛透流。,夫妻應該要從一而終。
彼个查某囡仔足貪食的。,那個女孩子十分貪吃。
外面當咧透風，你莫閣出去矣。,外頭颳起大風了，你不要再出去了。
我的房間真通風，暗時仔咧睏閣小可仔會寒。,我的房間很通風，晚上睡覺時還稍微感覺到一點兒寒意。
逐家攏是家己人，著愛互相照顧。,大家都是自己人，要互相照顧。
我這站歇睏，免去上班。,我這陣子休息，不用去上班。
這主的貨草袂䆀。,這家的貨色還不錯。
我規身軀軟荍荍，攏無想欲振動。,我全身有氣無力，都不想動。
你這陣有啥物拍算？,你現在有什麼打算？
這馬的人攏罕得寫批矣。,現在的人都很少寫信了。
我通常是四點下課。,我通常是四點下課。
等軟晡才來去買果子。,等傍晚再去買水果。
你毋通連累我。,你不要連累到我。
伊連紲三擺攏考第一名。,他連續三次都考第一名。
販貨去賣,批貨去賣
伊毋是刁意故的，你莫閣共伊責備矣。,他不是故意的，你不要再指責他了。
我欲揣校長，勞煩你通報一下。,我要找校長，麻煩你通報一聲。
做人若貧惰，一世人袂快活。,為人處事若不勤快，一輩子不會有好日子過。
彼个貧惰骨，日頭曝尻川矣閣毋起來。,那個懶惰蟲，太陽晒屁股了還不起床。
你毋通遐貧惰骨。,你不要那麼懶。
伊是讓你，毋是驚你，你毋通軟塗深掘喔！,他是讓你不是怕你，你不可以得寸進尺喔！
這搭的人攏誠親切。,這裡的人都很親切。
伊疼甲透暗睏袂去。,他痛得整夜都睡不著。
樓頂逐暗攏足吵的。,樓上每天晚上都很吵。
攑椅仔來跂跤。,拿椅子來墊腳。
我予你驚一下險軟跤！,我被你嚇得差點腿軟！
你毋通佇遐空喙哺舌亂造話。,你不要在那裡空口說白話胡亂造謠。
叫甲彼箍軟跤蝦袂做代誌，有啥物路用？,叫來那個軟腳蝦不會做事，有什麼用？
這過的風颱誠大，你愛提早預防。,這次的颱風很大，你要提早預防。
彼條路傷狹，轎車無法度通過。,那條路太窄，轎車無法通行。
這條法案已經佇立法院通過矣。,這條法案已經在立法院通過了。
昨暗我透暝攏無睏。,昨晚我整夜都沒睡。
伊透暝去揣醫生。,他連夜去看病。
種樹仔嘛是咧為人類造福。,種樹也是在為人類帶來好處。
遮的弓蕉已經軟膏膏矣，毋緊食著愛擲掉！,這些香蕉已經軟趴趴了，不趕快吃就得丟掉！
毋知按怎我今仔日規身軀軟膏膏？,不知怎麼我今天全身無力？
伊退休了後生活誠逍遙。,他退休後的生活很自在。
賣貨頭，卸貨尾。,以利潤較高的售價賣出新貨，再將存貨削價變現。
連環車禍,連環車禍
